,A3_1 POSFB,A3_2 POSFB,A3_1 VELFB,A3_2 VELFB,A3_1 POSSP,A3_2 POSSP,A3_1 VELSP,A3_2 VELSP,A3_1 TORQUE,A3_2 TORQUE,time,A3_1 ACCSP
0,0.799991,0.79999,1.81205e-06,0.0,0.799999,0,0.0,0,11.2284,11.9489,0.0039189,0.0
1,0.799991,0.79999,0.0,-1.81205e-06,0.799999,0,0.0,0,11.242,11.9625,0.00792637,0.0
2,0.799991,0.79999,1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.2556,11.9897,0.011924210000000001,0.0
3,0.799991,0.79999,3.6244599999999995e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.2692,11.9897,0.01592635,0.0
4,0.799991,0.79999,1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.2556,11.9897,0.01992635,0.0
5,0.799991,0.799991,1.8122299999999998e-06,1.81205e-06,0.799999,0,0.0,0,11.2964,12.0033,0.023925549999999997,0.0
6,0.799991,0.799991,1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.2964,12.0169,0.027921909999999998,0.0
7,0.799991,0.799991,5.436509999999999e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.31,12.0305,0.031926289999999996,0.0
8,0.799991,0.799991,-1.8122299999999998e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.3508,12.0169,0.03592085,0.0
9,0.799991,0.799991,3.6242800000000005e-06,1.81205e-06,0.799999,0,0.0,0,11.3236,12.0577,0.03992564,0.0
10,0.799991,0.799991,1.8122299999999998e-06,0.0,0.799999,0,0.0,0,11.2964,12.0848,0.043920049999999995,0.0
11,0.799991,0.799991,3.6242800000000005e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.3236,12.0712,0.047922719999999995,0.0
12,0.799991,0.799991,1.81205e-06,0.0,0.799999,0,0.0,0,11.3508,12.0984,0.05192201999999999,0.0
13,0.799991,0.799991,1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.3644,12.0577,0.055920059999999994,0.0
14,0.799991,0.799991,3.6242800000000005e-06,1.81205e-06,0.799999,0,0.0,0,11.378,12.112,0.059921209999999996,0.0
15,0.799991,0.799991,0.0,3.6242800000000005e-06,0.799999,0,0.0,0,11.3916,12.1256,0.06392205,0.0
16,0.799991,0.799991,0.0,3.6242800000000005e-06,0.799999,0,0.0,0,11.4187,12.0984,0.06791917,0.0
17,0.799991,0.799991,1.81205e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.3916,12.112,0.07192642,0.0
18,0.799991,0.799991,3.6242800000000005e-06,0.0,0.799999,0,0.0,0,11.4187,12.18,0.07592307000000001,0.0
19,0.799991,0.799991,3.6242800000000005e-06,-1.8122299999999998e-06,0.799999,0,0.0,0,11.4052,12.1392,0.07992488,0.0
20,0.799991,0.799991,3.6242800000000005e-06,0.0,0.799999,0,0.0,0,11.4459,12.1664,0.08392152,0.0
21,0.799991,0.799991,0.0,3.6242800000000005e-06,0.799999,0,0.0,0,11.4459,12.1664,0.08791948,0.0
22,0.799991,0.799991,1.81205e-06,0.0,0.799999,0,0.0,0,11.4459,12.1936,0.09192491,0.0
23,0.799991,0.799991,0.0,1.8122299999999998e-06,0.799999,0,0.0,0,11.4867,12.1936,0.09592379,0.0
24,0.799991,0.799991,-5.436509999999999e-06,1.81205e-06,0.799999,0,0.0,0,11.4459,12.1936,0.09992331,0.0
25,0.799991,0.799991,-1.81205e-06,0.0,0.799999,0,0.0,0,11.4731,12.2072,0.1039209,0.0
26,0.799991,0.799991,1.81205e-06,0.0,0.799999,0,0.0,0,11.5003,12.2344,0.10792064,0.0
27,0.799991,0.799991,0.0,0.0,0.799999,0,0.0,0,11.5003,12.248,0.11192737999999999,0.0
28,0.799991,0.799991,1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.5139,12.248,0.11591836999999999,0.0
29,0.799991,0.799991,5.436509999999999e-06,1.81205e-06,0.799999,0,0.0,0,11.5275,12.2344,0.11992683999999999,0.0
30,0.799991,0.799991,1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.5275,12.2752,0.12391814999999999,0.0
31,0.799991,0.799991,3.6242800000000005e-06,1.81205e-06,0.799999,0,0.0,0,11.5275,12.2616,0.12792381,0.0
32,0.799991,0.799991,1.81205e-06,-1.81205e-06,0.799999,0,0.0,0,11.5139,12.3159,0.13192045,0.0
33,0.799991,0.799991,-1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.5547,12.3023,0.13591998,0.0
34,0.799991,0.799991,1.8122299999999998e-06,1.8122299999999998e-06,0.799999,0,0.0,0,11.5547,12.3023,0.13992447,0.0
35,0.799991,0.799991,5.436509999999999e-06,3.6244599999999995e-06,0.799999,0,0.0,0,11.5547,12.3159,0.14392327,0.0
36,0.799991,0.799991,3.6242800000000005e-06,1.81205e-06,0.799999,0,0.0,0,11.5955,12.3431,0.14792053,0.0
37,0.799991,0.799991,-1.81205e-06,-1.81205e-06,0.799999,0,0.0,0,11.6091,12.3431,0.15192434,0.0
38,0.799991,0.799991,0.0,0.0,0.799999,0,0.0,0,11.6227,12.3431,0.15592371,0.0
39,0.799991,0.799991,1.81205e-06,0.0,0.799999,0,0.0,0,11.6091,12.3567,0.1599291,0.0
40,0.799991,0.799991,0.0,3.6242800000000005e-06,0.799999,0,0.0,0,11.6362,12.3159,0.16391987,0.0
41,0.799991,0.799991,1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.6227,12.3567,0.16792331,0.0
42,0.799991,0.799991,-1.81205e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.6498,12.3703,0.17192295,0.0
43,0.799991,0.799991,0.0,0.0,0.799999,0,0.0,0,11.6362,12.3839,0.17592681,0.0
44,0.799991,0.799991,3.6242800000000005e-06,0.0,0.799999,0,0.0,0,11.6634,12.3975,0.17992032,0.0
45,0.799991,0.799991,-1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.6498,12.4111,0.18392672999999998,0.0
46,0.799991,0.799991,1.8122299999999998e-06,0.0,0.799999,0,0.0,0,11.6634,12.4111,0.18791987,0.0
47,0.799991,0.799991,1.8122299999999998e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.677,12.3975,0.19192208,0.0
48,0.799991,0.799991,3.6242800000000005e-06,1.81205e-06,0.799999,0,0.0,0,11.677,12.4111,0.19592618,0.0
49,0.799991,0.799991,1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.6906,12.4519,0.19992154,0.0
50,0.799991,0.799991,-1.81205e-06,0.0,0.799999,0,0.0,0,11.7042,12.4247,0.20392502,0.0
51,0.799991,0.799991,-1.81205e-06,1.81205e-06,0.799999,0,0.0,0,11.745,12.4383,0.20791989000000002,0.0
52,0.799991,0.799991,0.0,7.248739999999999e-06,0.799999,0,0.0,0,11.7314,12.4655,0.21192406000000003,0.0
53,0.799991,0.799991,-1.8122299999999998e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.7314,12.4791,0.21592577000000002,0.0
54,0.799991,0.799991,5.436509999999999e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.7314,12.4655,0.21992150000000002,0.0
55,0.799991,0.799991,1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.745,12.4927,0.22392656000000002,0.0
56,0.799991,0.799991,1.81205e-06,5.436509999999999e-06,0.799999,0,0.0,0,11.745,12.4927,0.22791772000000002,0.0
57,0.799991,0.799991,1.8122299999999998e-06,0.0,0.799999,0,0.0,0,11.745,12.5062,0.23193008,0.0
58,0.799991,0.799991,1.81205e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.812999999999999,12.5334,0.23592143000000002,0.0
59,0.799991,0.799991,3.6242800000000005e-06,3.6242800000000005e-06,0.799999,0,0.0,0,11.7994,12.5198,0.23992528000000002,0.0
60,0.799991,0.799991,3.6242800000000005e-06,1.8122299999999998e-06,0.799999,0,0.0,0,11.8266,12.5198,0.24392503000000001,0.0
61,0.799991,0.799991,0.0,3.6242800000000005e-06,0.799999,0,0.0,0,11.812999999999999,12.5062,0.24792096000000002,0.0
