,A3_1 POSFB,A3_2 POSFB,A3_1 VELFB,A3_2 VELFB,A3_1 POSSP,A3_2 POSSP,A3_1 VELSP,A3_2 VELSP,A3_1 TORQUE,A3_2 TORQUE,time,A3_1 ACCSP
0,0.797834,0.797834,0.0,0.0,0.797834,0,0.0,0,13.1452,13.1995,0.00406767,0.0
1,0.797834,0.797834,0.0,1.81205e-06,0.797834,0,0.0,0,13.1452,13.2267,0.00800064,0.0
2,0.797834,0.797834,0.0,3.6242800000000005e-06,0.797834,0,0.0,0,13.1587,13.1995,0.01199885,0.0
3,0.797834,0.797834,-1.81205e-06,0.0,0.797834,0,0.0,0,13.1587,13.1859,0.01600029,0.0
4,0.797834,0.797834,1.8122299999999998e-06,-3.6242800000000005e-06,0.797834,0,0.0,0,13.1723,13.1723,0.01999897,0.0
5,0.797834,0.797834,-1.81205e-06,5.436509999999999e-06,0.797834,0,0.0,0,13.1587,13.2131,0.023998620000000002,0.0
6,0.797834,0.797834,5.436509999999999e-06,0.0,0.797834,0,0.0,0,13.1452,13.2131,0.02800462,0.0
7,0.797834,0.797834,0.0,0.0,0.797834,0,0.0,0,13.1587,13.1859,0.0319968,0.0
8,0.797834,0.797834,1.81205e-06,0.0,0.797834,0,0.0,0,13.1452,13.1723,0.035995189999999996,0.0
9,0.797834,0.797834,1.81205e-06,0.0,0.797834,0,0.0,0,13.1587,13.1995,0.03999796,0.0
10,0.797834,0.797834,3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1859,13.2131,0.04399844,0.0
11,0.797834,0.797834,-3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1587,13.2267,0.04800649,0.0
12,0.797834,0.797834,-3.6242800000000005e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1859,13.1995,0.05199778,0.0
13,0.797834,0.797834,-3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1723,13.1859,0.05599842,0.0
14,0.797834,0.797834,1.81205e-06,-1.81205e-06,0.797834,0,0.0,0,13.1859,13.1995,0.0600005,0.0
15,0.797834,0.797834,3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1316,13.1859,0.06399491,0.0
16,0.797834,0.797834,-3.6242800000000005e-06,1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.06800709,0.0
17,0.797834,0.797834,3.6242800000000005e-06,1.8122299999999998e-06,0.797834,0,0.0,0,13.1587,13.1995,0.0719944,0.0
18,0.797834,0.797834,0.0,1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.07600432,0.0
19,0.797834,0.797834,0.0,-1.81205e-06,0.797834,0,0.0,0,13.1859,13.2131,0.08000458,0.0
20,0.797834,0.797834,3.6242800000000005e-06,1.81205e-06,0.797834,0,0.0,0,13.1995,13.1995,0.08399697,0.0
21,0.797834,0.797834,3.6242800000000005e-06,-1.81205e-06,0.797834,0,0.0,0,13.1316,13.2131,0.08800757000000001,0.0
22,0.797834,0.797834,3.6242800000000005e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1316,13.1995,0.09199345,0.0
23,0.797834,0.797834,-1.8122299999999998e-06,0.0,0.797834,0,0.0,0,13.1587,13.2131,0.09600289000000001,0.0
24,0.797834,0.797834,0.0,-1.8122299999999998e-06,0.797834,0,0.0,0,13.1452,13.1452,0.09999726,0.0
25,0.797834,0.797834,3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1452,13.2131,0.10399793,0.0
26,0.797834,0.797834,-3.6242800000000005e-06,-1.81205e-06,0.797834,0,0.0,0,13.1452,13.2131,0.10801437,0.0
27,0.797834,0.797834,0.0,1.81205e-06,0.797834,0,0.0,0,13.1452,13.1995,0.1119932,0.0
28,0.797834,0.797834,-1.81205e-06,0.0,0.797834,0,0.0,0,13.1587,13.1587,0.11600327,0.0
29,0.797834,0.797834,0.0,0.0,0.797834,0,0.0,0,13.1316,13.1995,0.11999934000000001,0.0
30,0.797834,0.797834,0.0,-1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.12399902000000002,0.0
31,0.797834,0.797834,-1.81205e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1587,13.1995,0.12800958,0.0
32,0.797834,0.797834,0.0,3.6242800000000005e-06,0.797834,0,0.0,0,13.1452,13.1995,0.13199977000000002,0.0
33,0.797834,0.797834,-5.436509999999999e-06,1.81205e-06,0.797834,0,0.0,0,13.1859,13.1859,0.13600222,0.0
34,0.797834,0.797834,-1.81205e-06,5.436509999999999e-06,0.797834,0,0.0,0,13.1316,13.1995,0.13999436,0.0
35,0.797834,0.797834,-1.81205e-06,0.0,0.797834,0,0.0,0,13.1723,13.1995,0.14399825000000002,0.0
36,0.797834,0.797834,0.0,0.0,0.797834,0,0.0,0,13.1587,13.1859,0.14800312000000002,0.0
37,0.797834,0.797834,-1.81205e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1452,13.1995,0.15199908,0.0
38,0.797834,0.797834,1.81205e-06,1.81205e-06,0.797834,0,0.0,0,13.1452,13.1587,0.15600234000000002,0.0
39,0.797834,0.797834,0.0,5.436509999999999e-06,0.797834,0,0.0,0,13.1723,13.1995,0.15999760000000002,0.0
40,0.797834,0.797834,-3.6242800000000005e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1452,13.2131,0.16400567000000002,0.0
41,0.797834,0.797834,-1.8122299999999998e-06,-1.8122299999999998e-06,0.797834,0,0.0,0,13.1723,13.1995,0.16800052000000001,0.0
42,0.797834,0.797834,1.81205e-06,0.0,0.797834,0,0.0,0,13.1452,13.1995,0.17200110000000002,0.0
43,0.797834,0.797834,-3.6242800000000005e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1859,13.1859,0.17600117,0.0
44,0.797834,0.797834,1.81205e-06,1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.18000280000000002,0.0
45,0.797834,0.797834,0.0,-1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.18399703,0.0
46,0.797834,0.797834,-3.6242800000000005e-06,1.81205e-06,0.797834,0,0.0,0,13.1452,13.1859,0.18800574,0.0
47,0.797834,0.797834,1.8122299999999998e-06,1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.19200028,0.0
48,0.797834,0.797834,3.6242800000000005e-06,-1.81205e-06,0.797834,0,0.0,0,13.1452,13.2131,0.19600171,0.0
49,0.797834,0.797834,3.6242800000000005e-06,5.436509999999999e-06,0.797834,0,0.0,0,13.1452,13.1859,0.20000299,0.0
50,0.797834,0.797834,0.0,3.6242800000000005e-06,0.797834,0,0.0,0,13.1723,13.1723,0.20399673,0.0
51,0.797834,0.797834,0.0,-3.6242800000000005e-06,0.797834,0,0.0,0,13.1723,13.1995,0.20800571999999998,0.0
52,0.797834,0.797834,0.0,1.81205e-06,0.797834,0,0.0,0,13.1316,13.1859,0.21199932,0.0
53,0.797834,0.797834,7.248739999999999e-06,1.8122299999999998e-06,0.797834,0,0.0,0,13.1587,13.1995,0.21599427,0.0
54,0.797834,0.797834,-1.81205e-06,3.6242800000000005e-06,0.797834,0,0.0,0,13.1587,13.2131,0.22000182999999998,0.0
55,0.797834,0.797834,-1.81205e-06,-5.436509999999999e-06,0.797834,0,0.0,0,13.1452,13.1995,0.22399672999999998,0.0
56,0.797834,0.797834,0.0,1.81205e-06,0.797834,0,0.0,0,13.1316,13.1723,0.22800642,0.0
57,0.797834,0.797834,1.81205e-06,-1.81205e-06,0.797834,0,0.0,0,13.1452,13.1859,0.23199642999999998,0.0
58,0.797834,0.797834,-1.81205e-06,0.0,0.797834,0,0.0,0,13.1587,13.1723,0.23600333999999998,0.0
59,0.797834,0.797834,-1.81205e-06,0.0,0.797834,0,0.0,0,13.1587,13.1723,0.23999997999999997,0.0
60,0.797834,0.797834,1.81205e-06,0.0,0.797834,0,0.0,0,13.1452,13.1995,0.24400055999999998,0.0
61,0.797834,0.797834,3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1859,13.2267,0.24800494999999997,0.0
62,0.797834,0.797834,-1.81205e-06,-1.81205e-06,0.797834,0,0.0,0,13.1587,13.1859,0.25199773,0.0
63,0.797834,0.797834,1.81205e-06,-1.8122299999999998e-06,0.797834,0,0.0,0,13.1587,13.1723,0.25600213,0.0
64,0.797834,0.797834,3.6242800000000005e-06,-1.81205e-06,0.797834,0,0.0,0,13.1452,13.1859,0.26000205,0.0
65,0.797834,0.797834,0.0,3.6242800000000005e-06,0.797834,0,0.0,0,13.1316,13.1995,0.26399835,0.0
66,0.797834,0.797834,3.6242800000000005e-06,0.0,0.797834,0,0.0,0,13.1587,13.1995,0.26800277,0.0
67,0.797834,0.797834,1.81205e-06,-1.81205e-06,0.797834,0,0.0,0,13.1452,13.1859,0.27199805,0.0
68,0.797834,0.797834,-1.81205e-06,1.81205e-06,0.797834,0,0.0,0,13.1723,13.1723,0.27599713,0.0
69,0.797834,0.797834,1.81205e-06,1.81205e-06,0.797834,0,0.0,0,13.1587,13.2131,0.2799982,0.0
70,0.797834,0.797834,0.0,-1.81205e-06,0.797834,0,0.0,0,13.1587,13.1995,0.28400074,0.0
71,0.797834,0.797834,0.0,3.6242800000000005e-06,0.797834,0,0.0,0,13.1452,13.2267,0.28800315,0.0
72,0.797834,0.797834,0.0,0.0,0.797834,0,0.0,0,13.1452,13.1995,0.29200161999999996,0.0
73,0.797834,0.797834,1.81205e-06,1.81205e-06,0.797834,0,0.0,0,13.1452,13.1995,0.29600194999999996,0.0
74,0.797834,0.797834,1.81205e-06,0.0,0.797834,0,0.0,0,13.1723,13.1995,0.29999946999999993,0.0
75,0.797834,0.797834,-3.6244599999999995e-06,0.0,0.797834,0,0.0,0,13.1452,13.1995,0.3040020499999999,0.0
