,A3_1 POSFB,A3_2 POSFB,A3_1 VELFB,A3_2 VELFB,A3_1 POSSP,A3_2 POSSP,A3_1 VELSP,A3_2 VELSP,A3_1 TORQUE,A3_2 TORQUE,time,A3_1 ACCSP
0,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,12.9956,12.8733,0.00400103,0.0
1,0.798624,0.798624,0.0,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8869,0.00805672,0.0
2,0.798624,0.798624,-1.8122299999999998e-06,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8733,0.01200592,0.0
3,0.798624,0.798624,-1.81205e-06,1.81205e-06,0.798624,0,0.0,0,12.9956,12.8733,0.015996,0.0
4,0.798624,0.798624,1.81205e-06,0.0,0.798624,0,0.0,0,12.9956,12.8733,0.01999801,0.0
5,0.798624,0.798624,-5.436509999999999e-06,0.0,0.798624,0,0.0,0,12.9956,12.8597,0.02400018,0.0
6,0.798624,0.798624,1.81205e-06,0.0,0.798624,0,0.0,0,13.0228,12.8597,0.02799898,0.0
7,0.798624,0.798624,-1.81205e-06,-1.81205e-06,0.798624,0,0.0,0,13.0364,12.8869,0.03200285,0.0
8,0.798624,0.798624,-1.8122299999999998e-06,-5.436509999999999e-06,0.798624,0,0.0,0,12.9956,12.8869,0.03599771,0.0
9,0.798624,0.798624,-1.81205e-06,1.8122299999999998e-06,0.798624,0,0.0,0,13.0364,12.8733,0.040002130000000004,0.0
10,0.798624,0.798624,1.81205e-06,3.6242800000000005e-06,0.798624,0,0.0,0,13.0228,12.8597,0.043997320000000006,0.0
11,0.798624,0.798624,5.436509999999999e-06,-1.8122299999999998e-06,0.798624,0,0.0,0,12.9956,12.8597,0.048000970000000004,0.0
12,0.798624,0.798624,0.0,3.6242800000000005e-06,0.798624,0,0.0,0,12.982000000000001,12.8869,0.05200362,0.0
13,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,12.9956,12.8461,0.05599904,0.0
14,0.798624,0.798624,1.81205e-06,-1.81205e-06,0.798624,0,0.0,0,13.0228,12.9005,0.05999811,0.0
15,0.798624,0.798624,-1.81205e-06,-3.6242800000000005e-06,0.798624,0,0.0,0,12.982000000000001,12.8461,0.0640062,0.0
16,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,12.9956,12.8869,0.06800512,0.0
17,0.798624,0.798624,0.0,-3.6242800000000005e-06,0.798624,0,0.0,0,13.0092,12.8733,0.07200778000000001,0.0
18,0.798624,0.798624,1.8122299999999998e-06,0.0,0.798624,0,0.0,0,13.0228,12.9141,0.07599874000000001,0.0
19,0.798624,0.798624,-1.81205e-06,-5.436509999999999e-06,0.798624,0,0.0,0,13.0364,12.8461,0.07999504,0.0
20,0.798624,0.798624,1.81205e-06,-5.436509999999999e-06,0.798624,0,0.0,0,12.9956,12.8461,0.08400368,0.0
21,0.798624,0.798624,0.0,-1.81205e-06,0.798624,0,0.0,0,13.0228,12.8869,0.08800052,0.0
22,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.0228,12.8733,0.09200356999999999,0.0
23,0.798624,0.798624,-3.6244599999999995e-06,1.81205e-06,0.798624,0,0.0,0,12.9956,12.8733,0.09600244,0.0
24,0.798624,0.798624,0.0,-1.81205e-06,0.798624,0,0.0,0,13.05,12.8597,0.09999471,0.0
25,0.798624,0.798624,-3.6242800000000005e-06,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8869,0.10400536,0.0
26,0.798624,0.798624,0.0,-3.6242800000000005e-06,0.798624,0,0.0,0,12.9956,12.8597,0.10799758000000001,0.0
27,0.798624,0.798624,0.0,-1.81205e-06,0.798624,0,0.0,0,13.0092,12.8597,0.11200619,0.0
28,0.798624,0.798624,-1.81205e-06,1.81205e-06,0.798624,0,0.0,0,13.0228,12.8597,0.11599633000000001,0.0
29,0.798624,0.798624,3.6242800000000005e-06,0.0,0.798624,0,0.0,0,13.0228,12.8597,0.11999788000000002,0.0
30,0.798624,0.798624,3.6244599999999995e-06,-1.81205e-06,0.798624,0,0.0,0,13.05,12.9005,0.12400570000000001,0.0
31,0.798624,0.798624,1.81205e-06,0.0,0.798624,0,0.0,0,13.0364,12.8869,0.12799832,0.0
32,0.798624,0.798624,0.0,-3.6242800000000005e-06,0.798624,0,0.0,0,12.9956,12.8869,0.13200196,0.0
33,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.0228,12.8869,0.13599485,0.0
34,0.798624,0.798624,1.81205e-06,3.6242800000000005e-06,0.798624,0,0.0,0,12.982000000000001,12.8461,0.13999688,0.0
35,0.798624,0.798624,-1.81205e-06,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8733,0.14400615,0.0
36,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,12.9956,12.8733,0.14799835,0.0
37,0.798624,0.798624,1.81205e-06,0.0,0.798624,0,0.0,0,12.9956,12.8733,0.1520113,0.0
38,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.0228,12.8597,0.15599639999999998,0.0
39,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.0228,12.8597,0.15999824999999998,0.0
40,0.798624,0.798624,0.0,1.81205e-06,0.798624,0,0.0,0,12.9956,12.8733,0.16400103,0.0
41,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,13.0364,12.8733,0.16800286,0.0
42,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,12.9956,12.8869,0.17200184000000002,0.0
43,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.0364,12.8733,0.17599914000000003,0.0
44,0.798624,0.798624,1.81205e-06,-1.81205e-06,0.798624,0,0.0,0,13.0228,12.8869,0.17999779000000002,0.0
45,0.798624,0.798624,-1.81205e-06,1.81205e-06,0.798624,0,0.0,0,13.0092,12.8597,0.18400580000000002,0.0
46,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,13.0228,12.8733,0.18800114,0.0
47,0.798624,0.798624,-3.6242800000000005e-06,0.0,0.798624,0,0.0,0,12.982000000000001,12.8869,0.19200458,0.0
48,0.798624,0.798624,7.248739999999999e-06,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8869,0.1959976,0.0
49,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,12.9956,12.8597,0.19999677,0.0
50,0.798624,0.798624,1.81205e-06,-3.6242800000000005e-06,0.798624,0,0.0,0,13.0228,12.8733,0.20400184,0.0
51,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,12.982000000000001,12.8733,0.20800402999999998,0.0
52,0.798624,0.798624,-3.6242800000000005e-06,-1.8122299999999998e-06,0.798624,0,0.0,0,12.9956,12.8733,0.21200020999999997,0.0
53,0.798624,0.798624,0.0,-1.81205e-06,0.798624,0,0.0,0,13.0636,12.8597,0.21600061999999998,0.0
54,0.798624,0.798624,1.81205e-06,-1.81205e-06,0.798624,0,0.0,0,12.9956,12.8869,0.21999480999999999,0.0
55,0.798624,0.798624,3.6242800000000005e-06,1.81205e-06,0.798624,0,0.0,0,12.9956,12.8461,0.22400513,0.0
56,0.798624,0.798624,0.0,-1.8122299999999998e-06,0.798624,0,0.0,0,13.0228,12.9005,0.22799735,0.0
57,0.798624,0.798624,-1.81205e-06,3.6242800000000005e-06,0.798624,0,0.0,0,12.9956,12.8869,0.23200093,0.0
58,0.798624,0.798624,0.0,0.0,0.798624,0,0.0,0,13.05,12.8597,0.23600276,0.0
59,0.798624,0.798624,0.0,5.436509999999999e-06,0.798624,0,0.0,0,12.9956,12.8733,0.2399962,0.0
